Cost 1639
Edges 1166
E 5 1
E 1 2
E 2 4
E 4 8
E 8 16
E 16 32
E 32 64
E 64 128
E 128 256
E 256 768
E 256 2304
E 128 384
E 384 896
E 896 2944
E 384 2432
E 128 640
E 640 1664
E 64 192
E 192 448
E 448 960
E 960 1984
E 192 704
E 704 1728
E 1728 3776
E 64 320
E 320 832
E 832 2880
E 320 2368
E 64 1088
E 1088 3136
E 32 160
E 160 224
E 224 480
E 480 1504
E 224 736
E 736 2784
E 160 416
E 416 928
E 928 1952
E 1952 4000
E 160 1184
E 1184 3232
E 32 288
E 288 352
E 352 1376
E 1376 3424
E 288 800
E 32 96
E 16 48
E 48 112
E 112 240
E 240 496
E 496 1008
E 112 368
E 368 2416
E 2416 3440
E 368 1392
E 48 176
E 176 688
E 688 2736
E 176 1200
E 16 80
E 80 208
E 208 464
E 464 1488
E 208 720
E 720 1744
E 1744 3792
E 80 592
E 16 272
E 272 1296
E 1296 3344
E 16 528
E 528 1552
E 16 144
E 16 2064
E 8 24
E 24 56
E 56 120
E 120 248
E 248 504
E 504 1016
E 1016 2040
E 2040 4088
E 120 1144
E 1144 3192
E 120 2168
E 56 312
E 312 824
E 824 1848
E 1848 3896
E 824 2872
E 312 440
E 56 184
E 24 88
E 88 216
E 216 472
E 472 984
E 472 1496
E 472 2520
E 216 728
E 728 1752
E 88 600
E 24 152
E 152 408
E 408 920
E 920 1944
E 1944 3992
E 152 1176
E 1176 3224
E 24 1048
E 1048 1304
E 24 280
E 8 40
E 40 104
E 104 360
E 360 488
E 488 1000
E 1000 3048
E 104 616
E 616 1640
E 1640 3688
E 104 1128
E 1128 1256
E 104 232
E 40 168
E 168 424
E 424 936
E 936 1960
E 424 1448
E 1448 3496
E 40 296
E 40 552
E 8 72
E 72 200
E 200 712
E 712 2760
E 72 584
E 584 840
E 840 1864
E 72 328
E 8 136
E 136 392
E 392 2440
E 136 648
E 8 264
E 264 776
E 776 1800
E 1800 3848
E 8 2056
E 2056 3080
E 8 1032
E 4 12
E 12 28
E 28 92
E 92 124
E 124 252
E 252 508
E 508 1020
E 1020 3068
E 252 1276
E 124 380
E 380 1404
E 92 220
E 220 732
E 732 988
E 988 2012
E 220 476
E 92 1116
E 1116 3164
E 28 156
E 156 188
E 188 444
E 444 1468
E 1468 3516
E 188 700
E 700 1724
E 1724 3772
E 156 412
E 156 668
E 28 540
E 540 572
E 572 1596
E 1596 3644
E 540 1564
E 1564 3612
E 540 2588
E 28 60
E 28 1052
E 12 76
E 76 204
E 204 2252
E 76 332
E 332 844
E 844 1868
E 844 2892
E 332 2380
E 76 1100
E 1100 3148
