Cost 34385
Edges 280
E 16 1105
E 1105 742
E 742 741
E 741 740
E 740 256
E 256 261
E 261 262
E 262 257
E 257 15
E 15 12
E 12 17
E 17 6
E 6 3
E 3 11
E 11 33
E 33 30
E 30 24
E 24 2
E 2 244
E 244 251
E 251 249
E 249 271
E 271 265
E 265 320
E 320 243
E 243 331
E 331 333
E 333 817
E 817 821
E 821 1063
E 1063 1064
E 243 727
E 727 771
E 320 254
E 254 617
E 617 683
E 683 925
E 320 328
E 328 1175
E 271 315
E 315 1283
E 1283 1287
E 1287 1045
E 1283 1284
E 24 112
E 112 120
E 120 65
E 65 57
E 57 13
E 13 79
E 79 200
E 200 134
E 134 167
E 167 530
E 530 536
E 536 558
E 558 591
E 134 233
E 233 239
E 239 162
E 162 129
E 129 131
E 131 494
E 494 490
E 490 600
E 494 488
E 129 371
E 371 437
E 437 459
E 459 404
E 404 481
E 371 366
E 24 387
E 387 453
E 453 574
E 387 508
E 508 552
E 552 519
E 519 156
E 156 1245
E 1245 1252
E 1252 405
E 405 768
E 387 750
E 750 772
E 772 775
E 775 1138
E 750 753
E 30 107
E 107 103
E 103 1313
E 6 10
E 10 5
E 5 38
E 38 35
E 35 90
E 90 1058
E 1058 1069
E 1069 970
E 970 974
E 38 159
E 159 148
E 148 152
E 152 147
E 147 146
E 146 212
E 148 511
E 511 995
E 995 997
E 997 1118
E 159 157
E 157 160
E 160 281
E 281 303
E 303 298
E 298 308
E 308 305
E 305 426
E 426 425
E 425 304
E 304 667
E 667 788
E 788 810
E 303 424
E 281 314
E 160 402
E 402 406
E 406 384
E 384 383
E 383 379
E 379 375
E 375 380
E 380 378
E 378 455
E 383 394
E 394 31
E 383 416
E 416 427
E 427 422
E 422 543
E 543 545
E 545 550
E 383 625
E 384 747
E 402 435
E 435 677
E 677 633
E 633 754
E 754 743
E 743 831
E 831 834
E 834 229
E 229 231
E 231 227
E 227 161
E 161 645
E 227 1195
E 1195 1191
E 1191 1312
E 1312 344
E 344 343
E 231 242
E 231 473
E 633 875
E 875 879
E 633 628
E 157 234
E 234 355
E 159 203
E 203 687
E 5 49
E 49 71
E 71 74
E 74 52
E 52 48
E 48 47
E 47 58
E 58 60
E 60 59
E 59 56
E 56 34
E 59 63
E 63 184
E 59 180
E 180 178
E 178 904
E 904 1025
E 60 82
E 82 81
E 81 83
E 83 87
E 82 88
E 88 85
E 85 80
E 80 14
E 14 102
E 102 109
E 109 100
E 100 23
E 23 29
E 29 513
E 513 557
E 557 554
E 554 191
E 48 92
E 92 213
E 213 211
E 211 214
E 214 220
E 220 341
E 211 123
E 213 215
E 215 226
E 52 173
E 173 168
E 168 172
E 172 293
E 293 289
E 289 291
E 291 280
E 280 885
E 289 296
E 296 290
E 290 301
E 168 201
E 201 443
E 443 421
E 421 1268
E 173 175
E 175 659
E 71 76
E 76 72
E 72 94
E 94 1304
E 71 1039
E 1039 1038
E 1038 1082
E 5 247
E 247 313
E 313 434
E 434 431
E 10 54
E 54 43
E 43 1132
E 54 51
E 6 1216
E 1216 1215
E 1215 1226
E 1226 1232
E 1232 1223
E 1223 1256
E 1256 1278
E 1278 1322
E 1216 1221
E 257 258
E 258 259
E 259 501
E 501 498
E 498 506
E 506 748
E 748 869
E 869 861
E 861 865
E 869 867
E 867 889
E 889 886
E 886 897
E 897 892
E 892 900
E 498 586
E 586 509
E 509 520
E 520 553
E 586 1070
E 261 866
E 866 877
E 877 1240
E 1240 272
E 272 250
E 1105 1101
