Cost 41777
Edges 414
E 1 257
E 257 321
E 321 65
E 65 193
E 193 201
E 201 73
E 201 137
E 137 139
E 139 203
E 203 235
E 235 233
E 235 227
E 227 228
E 228 236
E 236 234
E 234 238
E 238 230
E 230 229
E 229 101
E 101 97
E 97 353
E 353 369
E 353 354
E 101 103
E 103 39
E 39 167
E 167 165
E 165 421
E 421 437
E 437 405
E 405 149
E 149 181
E 167 175
E 175 171
E 171 427
E 427 299
E 299 297
E 297 265
E 297 425
E 425 489
E 489 481
E 427 431
E 175 191
E 191 192
E 192 64
E 167 423
E 423 439
E 39 35
E 35 291
E 291 289
E 39 40
E 101 69
E 69 85
E 85 87
E 87 343
E 343 351
E 87 88
E 88 96
E 85 213
E 213 209
E 209 241
E 241 177
E 177 433
E 433 417
E 417 418
E 213 197
E 197 198
E 198 214
E 214 222
E 85 93
E 69 77
E 77 13
E 69 71
E 71 327
E 230 246
E 234 202
E 202 74
E 74 66
E 66 194
E 194 130
E 130 386
E 386 388
E 194 196
E 196 452
E 452 468
E 194 450
E 450 466
E 466 474
E 466 210
E 210 242
E 242 178
E 178 182
E 182 438
E 242 498
E 498 502
E 502 510
E 510 506
E 506 490
E 194 226
E 74 106
E 106 105
E 105 361
E 105 41
E 41 57
E 57 25
E 25 281
E 281 273
E 281 409
E 281 345
E 345 329
E 329 457
E 329 330
E 281 313
E 25 17
E 17 18
E 18 2
E 2 10
E 10 138
E 138 394
E 18 82
E 82 338
E 18 26
E 26 58
E 58 50
E 50 34
E 50 52
E 52 308
E 308 306
E 26 154
E 26 90
E 90 218
E 218 250
E 218 217
E 217 153
E 153 145
E 90 122
E 122 114
E 26 28
E 18 274
E 274 282
E 282 286
E 286 350
E 286 318
E 318 62
E 62 54
E 62 190
E 190 189
E 189 173
E 173 141
E 141 397
E 397 413
E 413 415
E 415 399
E 399 143
E 399 395
E 395 387
E 387 419
E 387 403
E 395 411
E 411 155
E 411 412
E 411 475
E 475 473
E 473 505
E 413 285
E 141 205
E 205 237
E 237 109
E 109 45
E 45 46
E 46 38
E 38 102
E 46 14
E 14 6
E 6 262
E 262 258
E 262 278
E 278 342
E 342 86
E 342 470
E 470 478
E 478 480
E 14 30
E 45 301
E 237 239
E 239 231
E 231 247
E 231 199
E 199 135
E 135 136
E 136 8
E 8 16
E 16 272
E 272 271
E 272 336
E 336 80
E 80 72
E 72 200
E 200 208
E 208 144
E 144 160
E 160 156
E 156 188
E 144 142
E 72 68
E 68 76
E 80 78
E 336 464
E 464 462
E 462 334
E 334 333
E 333 335
E 335 463
E 463 459
E 459 331
E 463 495
E 495 367
E 495 511
E 464 496
E 464 460
E 136 132
E 132 4
E 135 7
E 199 215
E 215 151
E 215 211
E 211 243
E 243 115
E 115 371
E 371 372
E 115 119
E 119 375
E 375 376
E 376 504
E 119 127
E 115 116
E 116 244
E 215 471
E 237 493
E 237 253
E 205 207
E 207 79
E 79 15
E 15 47
E 47 303
E 303 319
E 141 157
E 157 221
E 221 223
E 318 302
E 302 298
E 302 304
E 304 300
E 300 268
E 268 12
E 12 11
E 11 75
E 75 107
E 268 332
E 332 364
E 364 363
E 363 355
E 363 379
E 379 380
E 380 316
E 316 284
E 284 288
E 288 280
E 280 276
E 276 260
E 260 259
E 259 3
E 3 67
E 67 323
E 323 324
E 276 275
E 275 279
E 275 19
E 19 147
E 147 179
E 19 23
E 23 55
E 280 312
E 312 311
E 311 295
E 380 378
E 378 382
E 382 366
E 366 368
E 368 384
E 382 381
E 378 314
E 314 442
E 302 270
E 302 294
E 302 430
E 430 398
E 398 390
E 398 400
E 400 432
E 432 448
E 448 416
E 416 408
E 408 152
E 152 148
E 152 216
E 216 224
E 224 256
E 152 184
E 416 414
E 432 428
E 428 492
E 492 491
E 400 392
E 392 264
E 264 328
E 328 456
E 456 455
E 455 451
E 455 391
E 455 487
E 456 488
E 488 232
E 232 104
E 104 360
E 360 296
E 296 424
E 424 168
E 168 164
E 168 176
E 168 166
E 296 292
E 104 120
E 120 118
E 118 117
E 118 374
E 374 373
E 373 309
E 309 293
E 293 37
E 309 317
E 317 445
E 317 61
E 373 341
E 341 469
E 469 477
E 469 501
E 120 128
E 128 112
E 112 108
E 108 44
E 128 124
E 128 126
E 488 486
E 328 344
E 344 340
E 340 339
E 17 21
E 21 22
E 22 24
E 22 150
E 41 42
E 42 170
E 106 98
E 98 100
E 228 484
E 203 219
E 219 91
E 91 123
E 123 59
E 123 121
E 91 92
E 92 220
E 220 476
E 476 348
E 92 84
E 91 347
E 347 283
E 283 27
E 27 31
E 139 140
E 65 81
E 81 113
E 113 49
E 49 51
E 51 307
E 81 337
E 337 465
E 465 449
E 449 385
E 385 401
E 401 402
E 449 453
E 453 485
E 485 357
E 321 322
E 322 326
E 1 5
E 5 133
E 133 129
E 129 131
E 129 161
E 161 169
E 169 185
E 185 187
E 187 251
E 187 443
E 443 507
E 507 499
E 499 435
E 435 436
E 436 444
E 444 508
E 5 261
