Cost 38471
Edges 380
E 2001 1289
E 1289 2093
E 2093 315
E 315 2044
E 2044 940
E 940 2196
E 2196 1987
E 1987 2187
E 2044 364
E 364 2047
E 2044 664
E 664 2050
E 315 2142
E 315 2010
E 2010 194
E 194 2197
E 2197 1912
E 1912 2171
E 2171 688
E 688 2124
E 2010 761
E 761 2046
E 2001 1526
E 1526 2088
E 1526 2098
E 2098 1695
E 1695 2045
E 2001 1913
E 1913 2132
E 2132 323
E 323 2002
E 2002 38
E 38 2130
E 2130 70
E 70 2059
E 2059 1412
E 1412 2125
E 70 2169
E 2169 1128
E 1128 2067
E 2067 894
E 894 2105
E 2067 1881
E 1881 2163
E 2163 362
E 362 2037
E 2163 1179
E 1179 2192
E 2130 944
E 944 2025
E 2025 1558
E 1558 2060
E 2060 1355
E 1355 2189
E 2189 1701
E 1701 2003
E 2003 460
E 460 2157
E 2003 1433
E 1433 2017
E 2017 654
E 654 2111
E 2111 217
E 217 2094
E 2111 890
E 890 2012
E 2012 387
E 387 2083
E 2012 540
E 540 2151
E 2012 1207
E 1207 2168
E 2168 286
E 286 2190
E 2111 378
E 378 2162
E 1701 2073
E 2073 74
E 74 2175
E 2175 1202
E 1202 2114
E 2175 1741
E 1741 2177
E 2177 153
E 153 2104
E 2104 955
E 955 2138
E 2104 1392
E 1392 2018
E 2018 798
E 798 2095
E 2095 150
E 150 2102
E 2177 582
E 582 2122
E 2122 1019
E 1019 2172
E 2172 170
E 170 2158
E 2172 1319
E 1319 2014
E 2014 388
E 388 2042
E 2042 122
E 122 2082
E 2042 616
E 616 2068
E 2014 392
E 392 2076
E 2076 1018
E 1018 2054
E 2054 1770
E 1770 2074
E 2074 197
E 197 2078
E 2172 1854
E 1854 2034
E 2034 56
E 56 2148
E 2148 419
E 419 2066
E 2034 1475
E 1475 2090
E 2122 1142
E 1142 2021
E 2021 1535
E 1535 2120
E 2021 1599
E 1599 2123
E 2123 802
E 802 2181
E 2181 1836
E 1836 2129
E 1599 2134
E 2122 1411
E 1411 2035
E 2035 742
E 742 2156
E 2156 356
E 356 2036
E 2036 737
E 737 2188
E 2156 764
E 764 2019
E 2019 1253
E 1253 2040
E 2019 855
E 855 2041
E 2041 1555
E 1555 2026
E 2041 1788
E 1788 2039
E 2041 1726
E 1726 2049
E 2049 781
E 781 2100
E 2049 904
E 904 2183
E 2183 1381
E 1381 2080
E 1726 2089
E 2089 337
E 337 2199
E 855 2131
E 2131 1628
E 1628 2107
E 2107 297
E 297 2147
E 2189 1769
E 1769 2079
E 2079 863
E 863 2062
E 2189 316
E 316 2097
E 944 2135
E 2002 252
E 252 2032
E 2032 168
E 168 2166
E 2166 406
E 406 2084
E 2032 281
E 281 2006
E 281 2160
E 2160 1057
E 1057 2008
E 2008 1627
E 1627 2191
E 2008 1015
E 1015 2055
E 2055 463
E 463 2058
E 2058 858
E 858 2064
E 2058 1099
E 1099 2023
E 2160 1427
E 1427 2081
E 2160 1453
E 1453 2075
E 2075 94
E 94 2179
E 2179 1129
E 1129 2101
E 2101 551
E 551 2096
E 2096 1688
E 1688 2174
E 551 2071
E 2075 123
E 123 2140
E 2140 379
E 379 2161
E 2161 516
E 516 2027
E 2161 767
E 767 2133
E 2161 1566
E 1566 2051
E 2051 605
E 605 2065
E 2051 1703
E 1703 2112
E 2112 1435
E 1435 2200
E 2200 475
E 475 2141
E 2141 1391
E 1391 2152
E 2200 1342
E 1342 2118
E 2118 1205
E 1205 2015
E 2015 1387
E 1387 2031
E 2031 630
E 630 2126
E 2031 285
E 285 2043
E 2043 614
E 614 2052
E 2052 1206
E 1206 2178
E 2178 93
E 93 2110
E 2043 1366
E 1366 2013
E 2031 881
E 881 2061
E 2031 902
E 902 2092
E 2200 1823
E 1823 2182
E 379 2167
E 2167 827
E 827 2103
E 2140 1432
E 1432 2005
E 2005 283
E 283 2121
E 1453 2113
E 2113 1155
E 1155 2176
E 2176 992
E 992 2077
E 2176 1002
E 1002 2099
E 2099 172
E 172 2136
E 2136 917
E 917 2139
E 2139 358
E 358 2028
E 2028 377
E 377 2128
E 2128 727
E 727 2144
E 2144 833
E 833 2024
E 833 2159
E 2144 1077
E 1077 2165
E 2028 976
E 976 2011
E 2011 1125
E 1125 2106
E 2106 652
E 652 2117
E 2139 1034
E 1034 2070
E 2139 1871
E 1871 2146
E 2099 1493
E 1493 2056
E 2176 1789
E 1789 2022
E 2022 202
E 202 2063
E 2022 1787
E 1787 2009
E 2009 874
E 874 2184
E 2184 141
E 141 2020
E 2113 1406
E 1406 2016
E 2016 1021
E 1021 2109
E 2109 1074
E 1074 2038
E 2038 489
E 489 2085
E 2085 256
E 256 2193
E 2038 571
E 571 2119
E 2119 1016
E 1016 2150
E 2150 434
E 434 2154
E 1406 2127
E 2127 927
E 927 2004
E 2004 1732
E 1732 2069
E 2069 514
E 514 2164
E 2164 220
E 220 2153
E 2153 819
E 819 2057
E 2153 1790
E 1790 2007
E 2069 1589
E 1589 2137
E 2137 1860
E 1860 2108
E 2069 1715
E 1715 2186
E 2004 1243
E 1243 2173
E 1406 2048
E 2048 590
E 590 2115
E 2048 1717
E 1717 2155
E 2155 1636
E 1636 2072
E 2072 875
E 875 2091
E 2091 229
E 229 2180
E 2180 1649
E 1649 2030
E 2091 376
E 376 2116
E 2116 179
E 179 2053
E 2053 562
E 562 2195
E 2053 163
E 163 2087
E 2155 1690
E 1690 2086
E 1717 2198
E 2198 1716
E 1716 2145
E 2113 267
E 267 2029
E 2029 1672
E 1672 2149
E 2032 363
E 363 2194
E 2194 851
E 851 2143
E 252 2170
E 2132 472
E 472 2033
E 2033 1234
E 1234 2185
