Cost 269
Edges 269
E 1001 22
E 22 1007
E 1007 13
E 13 1072
E 13 1168
E 13 1182
E 13 1195
E 1007 20
E 20 1010
E 1010 98
E 98 1013
E 1013 33
E 33 1118
E 1013 60
E 60 1112
E 1013 76
E 76 1014
E 1014 51
E 51 1032
E 1032 38
E 38 1116
E 38 1117
E 1032 89
E 89 1165
E 1014 83
E 83 1077
E 1010 104
E 104 1011
E 1011 6
E 6 1047
E 6 1056
E 1056 7
E 7 1073
E 7 1076
E 7 1122
E 7 1150
E 7 1189
E 6 1093
E 6 1107
E 1107 40
E 40 1129
E 40 1140
E 6 1135
E 6 1176
E 1011 42
E 42 1062
E 1062 71
E 71 1079
E 1011 54
E 54 1055
E 1011 68
E 68 1134
E 1011 88
E 88 1033
E 1033 26
E 26 1034
E 1034 39
E 39 1154
E 20 1016
E 1016 34
E 34 1172
E 20 1025
E 1025 28
E 28 1173
E 1025 49
E 49 1029
E 1029 27
E 27 1123
E 27 1131
E 27 1166
E 1029 30
E 30 1127
E 30 1171
E 30 1178
E 49 1119
E 22 1057
E 22 1128
E 22 1132
E 22 1160
E 1001 781
E 781 1002
E 1002 10
E 10 1043
E 10 1064
E 10 1105
E 10 1108
E 10 1120
E 10 1190
E 1002 19
E 19 1004
E 1004 1
E 1 1012
E 1 1036
E 1036 52
E 52 1096
E 52 1139
E 1 1058
E 1 1061
E 1 1078
E 1 1083
E 1083 16
E 16 1153
E 16 1164
E 1 1101
E 1 1103
E 1 1121
E 1 1141
E 1 1180
E 1 1183
E 1 1187
E 1 1188
E 1004 11
E 11 1006
E 1006 29
E 29 1008
E 1008 31
E 31 1019
E 1019 47
E 47 1021
E 1021 4
E 4 1026
E 1026 24
E 24 1100
E 24 1138
E 24 1179
E 24 1186
E 24 1200
E 1026 43
E 43 1091
E 1026 61
E 61 1059
E 4 1039
E 4 1044
E 1044 62
E 62 1086
E 4 1068
E 4 1070
E 4 1088
E 4 1095
E 4 1125
E 4 1156
E 1021 5
E 5 1030
E 1030 18
E 18 1040
E 18 1041
E 18 1042
E 18 1050
E 18 1053
E 18 1159
E 18 1170
E 5 1046
E 5 1111
E 5 1167
E 5 1169
E 5 1198
E 31 1037
E 31 1094
E 1008 32
E 32 1175
E 1008 48
E 48 1085
E 29 1017
E 1017 2
E 2 1035
E 2 1048
E 2 1066
E 2 1067
E 2 1102
E 2 1147
E 2 1162
E 2 1163
E 2 1191
E 2 1192
E 29 1099
E 29 1110
E 29 1177
E 1006 82
E 82 1015
E 1015 12
E 12 1020
E 1020 8
E 8 1090
E 8 1109
E 8 1146
E 8 1157
E 8 1185
E 1020 59
E 59 1024
E 1024 36
E 36 1071
E 1024 57
E 57 1130
E 1024 77
E 77 1196
E 12 1028
E 1028 3
E 3 1054
E 3 1065
E 3 1097
E 3 1124
E 3 1126
E 3 1143
E 3 1152
E 3 1197
E 12 1136
E 12 1161
E 12 1181
E 1015 23
E 23 1031
E 1031 9
E 9 1045
E 9 1113
E 9 1174
E 1031 14
E 14 1051
E 1051 45
E 45 1074
E 45 1082
E 45 1098
E 45 1149
E 14 1137
E 14 1142
E 23 1049
E 23 1063
E 23 1087
E 23 1089
E 11 1060
E 11 1081
E 11 1144
E 11 1158
E 11 1193
E 1004 25
E 25 1069
E 25 1084
E 25 1092
E 25 1133
E 19 1005
E 19 1075
E 19 1199
E 1002 44
E 44 1027
E 1027 67
E 67 1155
E 44 1106
E 1002 64
E 64 1080
E 1002 78
E 78 1104
E 1002 112
E 112 1009
E 1009 15
E 15 1023
E 15 1114
E 15 1151
E 1009 21
E 21 1022
E 21 1038
E 21 1052
E 21 1145
E 1002 348
E 348 1003
E 1003 17
E 17 1115
E 17 1148
E 17 1184
E 17 1194
E 1003 58
E 58 1018
