Cost 10215
Edges 101
E 1 33
E 33 41
E 41 9
E 9 11
E 11 75
E 75 76
E 75 73
E 1 3
E 3 67
E 67 83
E 83 19
E 83 115
E 115 116
E 116 124
E 3 35
E 35 51
E 51 55
E 55 39
E 39 37
E 37 101
E 101 109
E 109 110
E 110 126
E 126 62
E 62 61
E 62 30
E 30 22
E 22 21
E 22 6
E 6 14
E 14 78
E 14 46
E 126 125
E 125 127
E 101 102
E 102 70
E 70 69
E 70 86
E 102 118
E 118 120
E 120 128
E 128 112
E 101 117
E 117 113
E 113 121
E 121 123
E 123 91
E 113 49
E 49 17
E 17 25
E 25 27
E 27 31
E 25 26
E 26 58
E 26 28
E 28 20
E 20 18
E 20 24
E 26 10
E 26 90
E 25 57
E 57 59
E 59 60
E 60 64
E 113 97
E 39 103
E 103 104
E 104 40
E 40 38
E 38 54
E 38 34
E 34 42
E 42 106
E 106 98
E 98 114
E 98 66
E 66 82
E 82 81
E 66 68
E 68 4
E 68 84
E 42 44
E 40 36
E 36 100
E 100 108
E 108 107
E 104 72
E 72 80
E 80 16
E 80 79
E 79 95
E 95 93
E 93 29
E 29 13
E 95 96
E 39 47
E 55 56
E 56 52
E 3 7
E 7 71
E 71 87
