Cost 461
Edges 326
E 1 2
E 2 4
E 4 3
E 3 7
E 7 15
E 15 31
E 31 63
E 63 127
E 63 191
E 31 95
E 95 223
E 223 255
E 255 511
E 511 1023
E 31 159
E 159 671
E 31 287
E 15 47
E 47 111
E 111 623
E 47 175
E 7 71
E 71 87
E 87 215
E 215 727
E 71 103
E 103 231
E 231 487
E 71 583
E 583 839
E 71 327
E 7 135
E 135 391
E 391 903
E 7 263
E 263 775
E 7 23
E 7 39
E 3 11
E 11 27
E 27 59
E 59 571
E 27 91
E 91 347
E 347 859
E 11 43
E 43 555
E 555 811
E 43 299
E 11 139
E 139 203
E 11 267
E 267 331
E 331 459
E 11 523
E 523 587
E 587 715
E 11 75
E 3 19
E 19 51
E 51 55
E 55 119
E 119 375
E 51 115
E 115 243
E 115 627
E 51 179
E 179 435
E 435 947
E 19 147
E 19 275
E 3 35
E 35 163
E 163 675
E 3 131
E 131 387
E 387 403
E 3 515
E 4 8
E 8 24
E 24 32
E 32 64
E 64 128
E 128 256
E 64 320
E 320 832
E 64 192
E 32 96
E 96 224
E 224 480
E 96 608
E 24 56
E 56 120
E 120 248
E 248 760
E 56 184
E 184 696
E 56 312
E 312 824
E 24 88
E 88 216
E 216 472
E 24 280
E 280 792
E 8 40
E 40 48
E 48 112
E 112 368
E 48 560
E 40 168
E 168 424
E 40 552
E 8 72
E 72 328
E 328 840
E 72 200
E 8 136
E 136 144
E 144 400
E 400 912
E 8 16
E 4 12
E 12 28
E 28 60
E 60 124
E 124 380
E 60 188
E 188 444
E 28 156
E 156 668
E 28 284
E 12 44
E 44 108
E 108 236
E 236 492
E 492 1004
E 236 748
E 44 556
E 12 76
E 76 588
E 12 140
E 140 396
E 396 908
E 4 20
E 20 148
E 148 212
E 212 468
E 468 980
E 20 52
E 20 84
E 4 36
E 36 164
E 164 228
E 228 484
E 484 996
E 36 292
E 292 356
E 356 868
E 36 100
E 4 132
E 132 644
E 4 260
E 2 6
E 6 5
E 5 13
E 13 29
E 29 61
E 61 125
E 125 381
E 381 893
E 29 93
E 93 221
E 13 45
E 45 173
E 173 429
E 429 941
E 45 109
E 45 301
E 13 77
E 77 205
E 205 461
E 461 973
E 13 141
E 141 397
E 13 269
E 13 525
E 5 21
E 21 53
E 53 117
E 117 245
E 245 501
E 53 181
E 181 437
E 53 565
E 21 85
E 85 597
E 21 277
E 277 789
E 5 37
E 37 101
E 101 229
E 229 741
E 5 69
E 69 197
E 5 133
E 6 14
E 14 30
E 30 94
E 94 350
E 30 158
E 158 190
E 190 446
E 446 958
E 190 702
E 30 286
E 286 798
E 30 62
E 14 46
E 46 174
E 174 238
E 238 494
E 46 110
E 14 78
E 78 206
E 206 718
E 6 22
E 22 54
E 54 118
E 22 86
E 86 214
E 214 470
E 470 982
E 22 150
E 6 38
E 38 294
E 294 358
E 358 870
E 38 102
E 6 134
E 134 390
E 390 902
E 6 262
E 2 10
E 10 9
E 9 41
E 41 105
E 105 233
E 233 745
E 105 617
E 41 57
E 9 73
E 73 89
E 89 121
E 121 249
E 249 505
E 249 761
E 89 345
E 345 857
E 9 137
E 137 153
E 153 409
E 409 921
E 9 25
E 9 521
E 10 26
E 26 58
E 58 122
E 122 634
E 26 90
E 90 218
E 26 154
E 154 410
E 10 42
E 42 298
E 298 810
E 42 170
E 10 74
E 74 586
E 586 842
E 74 330
E 10 138
E 2 18
E 18 17
E 17 49
E 49 113
E 113 241
E 49 305
E 305 817
E 17 81
E 81 337
E 17 145
E 145 657
E 18 50
E 50 114
E 114 116
E 116 244
E 244 500
E 114 242
E 242 498
E 498 1010
E 50 306
E 18 82
E 82 210
E 210 466
E 466 978
E 18 530
E 2 34
E 34 33
E 33 97
E 97 353
E 33 161
E 161 417
E 33 289
E 289 801
E 34 546
E 546 674
E 34 162
E 2 66
E 66 65
E 65 193
E 193 449
E 449 961
E 66 194
E 194 450
E 66 578
E 2 514
