Cost 323
Edges 323
E 2001 7
E 7 2022
E 2022 68
E 68 2164
E 2022 98
E 98 2135
E 2022 202
E 202 2063
E 2063 59
E 59 2101
E 59 2193
E 2063 133
E 133 2092
E 7 2038
E 2038 65
E 65 2082
E 7 2197
E 2001 94
E 94 2005
E 2005 128
E 128 2037
E 2037 3
E 3 2059
E 2059 70
E 70 2115
E 70 2175
E 3 2070
E 3 2144
E 3 2156
E 3 2180
E 2037 34
E 34 2126
E 34 2149
E 2149 136
E 136 2159
E 34 2160
E 2037 35
E 35 2049
E 2049 18
E 18 2132
E 18 2182
E 35 2053
E 2053 6
E 6 2133
E 6 2134
E 6 2186
E 35 2064
E 2064 19
E 19 2083
E 35 2066
E 2037 113
E 113 2137
E 2005 163
E 163 2032
E 2005 195
E 195 2191
E 2005 283
E 283 2048
E 2048 8
E 8 2127
E 8 2152
E 8 2170
E 2048 71
E 71 2081
E 2081 78
E 78 2165
E 2005 764
E 764 2006
E 2006 253
E 253 2010
E 2010 91
E 91 2168
E 2010 101
E 101 2125
E 2010 130
E 130 2176
E 2010 181
E 181 2088
E 2010 194
E 194 2012
E 2012 76
E 76 2074
E 2012 107
E 107 2061
E 2012 165
E 165 2057
E 2012 268
E 268 2013
E 2013 5
E 5 2039
E 2039 13
E 13 2105
E 2039 37
E 37 2054
E 5 2179
E 5 2195
E 2013 12
E 12 2050
E 2050 114
E 114 2055
E 2055 16
E 16 2117
E 12 2123
E 2013 21
E 21 2089
E 21 2188
E 21 2200
E 2013 73
E 73 2046
E 2046 52
E 52 2153
E 73 2087
E 73 2139
E 2013 99
E 99 2143
E 268 2079
E 2079 30
E 30 2162
E 2012 387
E 387 2026
E 2026 496
E 496 2040
E 2040 9
E 9 2183
E 253 2024
E 2024 17
E 17 2028
E 2028 377
E 377 2035
E 2035 31
E 31 2174
E 2035 183
E 183 2080
E 2080 257
E 257 2181
E 17 2142
E 17 2150
E 17 2169
E 17 2171
E 17 2192
E 2024 301
E 301 2033
E 2033 28
E 28 2062
E 2006 345
E 345 2011
E 2011 57
E 57 2163
E 2011 93
E 93 2112
E 93 2178
E 2006 1962
E 1962 2002
E 2002 38
E 38 2023
E 2023 48
E 48 2068
E 2023 148
E 148 2151
E 38 2098
E 38 2130
E 38 2199
E 2002 44
E 44 2021
E 2021 1
E 1 2067
E 1 2086
E 1 2093
E 1 2099
E 1 2122
E 1 2147
E 44 2069
E 2002 51
E 51 2058
E 2002 96
E 96 2008
E 2008 4
E 4 2041
E 4 2157
E 4 2166
E 2008 11
E 11 2136
E 11 2158
E 2008 45
E 45 2065
E 45 2102
E 45 2194
E 2008 157
E 157 2009
E 2009 64
E 64 2196
E 2009 108
E 108 2036
E 2036 2
E 2 2118
E 2 2138
E 2 2148
E 2 2177
E 2 2185
E 2036 36
E 36 2051
E 36 2060
E 36 2103
E 36 2109
E 2036 80
E 80 2111
E 2009 150
E 150 2095
E 157 2129
E 2008 266
E 266 2042
E 2042 46
E 46 2173
E 2042 53
E 53 2106
E 2042 62
E 62 2085
E 96 2116
E 96 2189
E 2001 119
E 119 2052
E 2001 139
E 139 2146
E 2001 339
E 339 2017
E 2017 10
E 10 2018
E 2017 20
E 20 2030
E 20 2104
E 20 2131
E 20 2190
E 2017 42
E 42 2184
E 2017 230
E 230 2044
E 2001 954
E 954 2007
E 2007 24
E 24 2043
E 24 2075
E 24 2172
E 2007 58
E 58 2014
E 2014 22
E 22 2108
E 22 2124
E 2124 88
E 88 2187
E 2014 47
E 47 2076
E 47 2113
E 47 2119
E 2001 1316
E 1316 2003
E 2001 1406
E 1406 2016
E 2016 23
E 23 2107
E 23 2145
E 2016 95
E 95 2020
E 2020 92
E 92 2047
E 92 2072
E 2072 49
E 49 2078
E 2078 41
E 41 2154
E 2078 121
E 121 2128
E 49 2094
E 2094 109
E 109 2140
E 2020 141
E 141 2027
E 2027 69
E 69 2077
E 2016 156
E 156 2034
E 2034 56
E 56 2045
E 2045 124
E 124 2114
E 2045 140
E 140 2121
E 56 2141
E 156 2090
E 2090 104
E 104 2161
E 2001 1869
E 1869 2004
E 2004 102
E 102 2025
E 2025 196
E 196 2071
E 2071 14
E 14 2198
E 2071 25
E 25 2096
E 25 2097
E 2071 116
E 116 2091
E 2025 216
E 216 2167
E 2004 131
E 131 2015
E 2015 26
E 26 2155
E 2015 39
E 39 2029
E 2029 209
E 209 2031
E 2031 55
E 55 2073
E 55 2100
E 55 2120
E 2031 178
E 178 2056
E 39 2084
E 39 2110
E 2015 222
E 222 2019
