Cost 182
Edges 121
E 16 5
E 5 1
E 1 2
E 2 57
E 57 1025
E 2 68
E 68 431
E 2 90
E 90 574
E 2 101
E 101 343
E 2 112
E 112 1322
E 2 123
E 1 3
E 3 58
E 58 1268
E 3 69
E 69 553
E 3 91
E 91 212
E 3 102
E 102 1070
E 3 113
E 113 355
E 3 366
E 1 4
E 4 59
E 59 301
E 4 70
E 70 191
E 4 92
E 92 455
E 4 103
E 103 1313
E 4 114
E 114 1082
E 4 488
E 1 6
E 6 61
E 61 424
E 6 72
E 72 314
E 6 94
E 94 1304
E 6 105
E 105 226
E 6 116
E 116 600
E 6 974
E 1 7
E 7 18
E 18 865
E 7 29
E 29 1118
E 7 40
E 40 645
E 7 84
E 84 810
E 7 51
E 1 8
E 8 63
E 63 184
E 8 74
E 74 1284
E 8 96
E 96 1064
E 8 107
E 107 591
E 8 118
E 118 481
E 8 250
E 1 9
E 9 20
E 20 625
E 9 42
E 42 768
E 9 53
E 53 900
E 9 86
E 86 1175
E 9 31
E 1 10
E 10 21
E 21 747
E 10 32
E 32 879
E 10 43
E 43 1132
E 10 54
E 54 659
E 10 87
E 1 11
E 11 66
E 66 550
E 11 77
E 77 1045
E 11 99
E 99 341
E 11 110
E 110 473
E 11 121
E 121 242
E 11 1221
E 1 12
E 12 1101
E 1 23
E 23 628
E 1 45
E 45 771
E 1 78
E 78 925
E 1 34
E 5 27
E 27 753
E 5 38
E 38 885
E 5 49
E 49 1138
E 5 82
E 82 687
