Cost 3071
Edges 3071
E 1 1025
E 1025 3073
E 1 513
E 513 2561
E 513 1537
E 1 257
E 257 2305
E 257 1281
E 257 769
E 769 1793
E 1793 3841
E 1 129
E 129 2177
E 129 1153
E 129 641
E 641 1665
E 1665 3713
E 129 385
E 385 1409
E 1409 3457
E 385 897
E 897 2945
E 897 1921
E 1 65
E 65 2113
E 65 1089
E 65 577
E 577 1601
E 1601 3649
E 65 321
E 321 1345
E 1345 3393
E 321 833
E 833 2881
E 833 1857
E 65 193
E 193 1217
E 1217 3265
E 193 705
E 705 2753
E 705 1729
E 193 449
E 449 2497
E 449 1473
E 449 961
E 961 1985
E 1985 4033
E 1 33
E 33 2081
E 33 1057
E 33 545
E 545 1569
E 1569 3617
E 33 289
E 289 1313
E 1313 3361
E 289 801
E 801 2849
E 801 1825
E 33 161
E 161 1185
E 1185 3233
E 161 673
E 673 2721
E 673 1697
E 161 417
E 417 2465
E 417 1441
E 417 929
E 929 1953
E 1953 4001
E 33 97
E 97 1121
E 1121 3169
E 97 609
E 609 2657
E 609 1633
E 97 353
E 353 2401
E 353 1377
E 353 865
E 865 1889
E 1889 3937
E 97 225
E 225 2273
E 225 1249
E 225 737
E 737 1761
E 1761 3809
E 225 481
E 481 1505
E 1505 3553
E 481 993
E 993 3041
E 993 2017
E 1 17
E 17 2065
E 17 1041
E 17 529
E 529 1553
E 1553 3601
E 17 273
E 273 1297
E 1297 3345
E 273 785
E 785 2833
E 785 1809
E 17 145
E 145 1169
E 1169 3217
E 145 657
E 657 2705
E 657 1681
E 145 401
E 401 2449
E 401 1425
E 401 913
E 913 1937
E 1937 3985
E 17 81
E 81 1105
E 1105 3153
E 81 593
E 593 2641
E 593 1617
E 81 337
E 337 2385
E 337 1361
E 337 849
E 849 1873
E 1873 3921
E 81 209
E 209 2257
E 209 1233
E 209 721
E 721 1745
E 1745 3793
E 209 465
E 465 1489
E 1489 3537
E 465 977
E 977 3025
E 977 2001
E 17 49
E 49 1073
E 1073 3121
E 49 561
E 561 2609
E 561 1585
E 49 305
E 305 2353
E 305 1329
E 305 817
E 817 1841
E 1841 3889
E 49 177
E 177 2225
E 177 1201
E 177 689
E 689 1713
E 1713 3761
E 177 433
E 433 1457
E 1457 3505
E 433 945
E 945 2993
E 945 1969
E 49 113
E 113 2161
E 113 1137
E 113 625
E 625 1649
E 1649 3697
E 113 369
E 369 1393
E 1393 3441
E 369 881
E 881 2929
E 881 1905
E 113 241
E 241 1265
E 1265 3313
E 241 753
E 753 2801
E 753 1777
E 241 497
E 497 2545
E 497 1521
E 497 1009
E 1009 2033
E 2033 4081
E 1 9
E 9 2057
E 9 1033
E 9 521
E 521 1545
E 1545 3593
E 9 265
E 265 1289
E 1289 3337
E 265 777
E 777 2825
E 777 1801
E 9 137
E 137 1161
E 1161 3209
E 137 649
E 649 2697
E 649 1673
E 137 393
E 393 2441
E 393 1417
E 393 905
E 905 1929
E 1929 3977
E 9 73
E 73 1097
E 1097 3145
E 73 585
E 585 2633
E 585 1609
E 73 329
E 329 2377
E 329 1353
E 329 841
E 841 1865
E 1865 3913
E 73 201
E 201 2249
E 201 1225
E 201 713
E 713 1737
E 1737 3785
E 201 457
E 457 1481
E 1481 3529
E 457 969
E 969 3017
E 969 1993
E 9 41
E 41 1065
E 1065 3113
E 41 553
E 553 2601
E 553 1577
E 41 297
E 297 2345
E 297 1321
E 297 809
E 809 1833
E 1833 3881
E 41 169
E 169 2217
E 169 1193
E 169 681
E 681 1705
E 1705 3753
E 169 425
E 425 1449
E 1449 3497
E 425 937
E 937 2985
E 937 1961
E 41 105
E 105 2153
E 105 1129
E 105 617
E 617 1641
E 1641 3689
E 105 361
E 361 1385
E 1385 3433
E 361 873
E 873 2921
E 873 1897
E 105 233
E 233 1257
E 1257 3305
E 233 745
E 745 2793
E 745 1769
E 233 489
E 489 2537
E 489 1513
E 489 1001
E 1001 2025
E 2025 4073
E 9 25
E 25 1049
E 1049 3097
E 25 537
E 537 2585
E 537 1561
E 25 281
E 281 2329
E 281 1305
E 281 793
E 793 1817
E 1817 3865
E 25 153
E 153 2201
E 153 1177
E 153 665
E 665 1689
E 1689 3737
E 153 409
E 409 1433
E 1433 3481
E 409 921
E 921 2969
E 921 1945
E 25 89
E 89 2137
E 89 1113
E 89 601
E 601 1625
E 1625 3673
E 89 345
E 345 1369
E 1369 3417
E 345 857
E 857 2905
E 857 1881
E 89 217
E 217 1241
E 1241 3289
E 217 729
E 729 2777
E 729 1753
E 217 473
E 473 2521
E 473 1497
E 473 985
E 985 2009
E 2009 4057
E 25 57
E 57 2105
E 57 1081
E 57 569
E 569 1593
E 1593 3641
E 57 313
E 313 1337
E 1337 3385
E 313 825
E 825 2873
E 825 1849
E 57 185
E 185 1209
E 1209 3257
E 185 697
E 697 2745
E 697 1721
E 185 441
E 441 2489
E 441 1465
E 441 953
E 953 1977
E 1977 4025
E 57 121
E 121 1145
E 1145 3193
E 121 633
E 633 2681
E 633 1657
E 121 377
E 377 2425
E 377 1401
E 377 889
E 889 1913
E 1913 3961
E 121 249
E 249 2297
E 249 1273
E 249 761
E 761 1785
E 1785 3833
E 249 505
E 505 1529
E 1529 3577
