Cost 739
Edges 517
E 9 3
E 3 1
E 1 2
E 2 5
E 5 14
E 14 41
E 41 284
E 284 365
E 41 122
E 41 203
E 14 68
E 68 230
E 230 473
E 473 1202
E 68 554
E 14 95
E 95 104
E 104 131
E 131 212
E 212 455
E 455 1913
E 104 347
E 347 1076
E 95 581
E 581 1310
E 14 176
E 176 662
E 662 2120
E 14 1472
E 5 32
E 32 194
E 194 680
E 32 275
E 275 1004
E 32 518
E 518 1976
E 32 50
E 5 59
E 59 77
E 77 158
E 158 644
E 644 2102
E 77 239
E 239 482
E 239 968
E 77 563
E 563 1292
E 59 140
E 140 383
E 383 1841
E 59 221
E 221 950
E 59 788
E 5 167
E 167 653
E 5 491
E 491 1949
E 5 23
E 5 86
E 2 8
E 8 17
E 17 71
E 71 152
E 152 881
E 71 233
E 233 719
E 719 1448
E 71 314
E 314 1772
E 17 98
E 98 125
E 125 206
E 98 341
E 341 1799
E 17 260
E 260 287
E 287 449
E 449 692
E 260 989
E 17 44
E 8 26
E 26 53
E 53 134
E 134 377
E 377 1106
E 134 620
E 620 1349
E 134 863
E 26 80
E 80 323
E 323 1781
E 80 809
E 809 890
E 80 161
E 26 188
E 188 431
E 188 1646
E 26 512
E 512 1970
E 8 35
E 35 116
E 116 1574
E 35 197
E 197 440
E 440 1169
E 35 278
E 278 1007
E 8 62
E 62 224
E 224 710
E 710 2168
E 62 305
E 62 1520
E 8 89
E 89 575
E 8 170
E 170 899
E 8 494
E 2 11
E 11 38
E 38 119
E 119 605
E 605 2063
E 38 200
E 200 1658
E 38 524
E 524 1253
E 524 1982
E 11 65
E 65 146
E 146 389
E 65 227
E 227 470
E 470 1199
E 11 92
E 92 335
E 11 173
E 173 416
E 11 740
E 2 20
E 20 47
E 47 128
E 128 371
E 371 1829
E 128 614
E 47 209
E 209 938
E 938 1424
E 209 695
E 20 74
E 74 317
E 74 1532
E 20 101
E 101 1559
E 20 182
E 182 668
E 668 1397
E 2 56
E 56 137
E 137 380
E 380 1109
E 137 623
E 623 1352
E 56 299
E 299 461
E 461 704
E 704 2162
E 56 218
E 2 83
E 83 110
E 110 839
E 2 164
E 164 407
E 407 1865
E 2 245
E 245 1703
E 2 29
E 1 4
E 4 13
E 13 40
E 40 202
E 202 688
E 40 283
E 283 1741
E 40 769
E 13 67
E 67 148
E 148 877
E 67 229
E 229 1687
E 13 94
E 94 337
E 337 1795
E 13 256
E 4 22
E 22 49
E 49 211
E 211 454
E 454 1183
E 49 778
E 778 859
E 859 1588
E 49 130
E 22 103
E 103 157
E 157 400
E 103 589
E 22 184
E 184 427
E 427 1156
E 22 265
E 265 319
E 319 1048
E 22 508
E 508 1966
E 22 76
E 4 31
E 31 112
E 112 598
E 598 1327
E 31 274
E 274 436
E 436 679
E 679 2137
E 31 193
E 4 58
E 58 220
E 220 706
E 706 1435
E 58 544
E 544 2002
E 4 166
E 166 1624
E 4 247
E 1 7
E 7 16
E 16 43
E 43 124
E 124 367
E 367 1096
E 124 610
E 610 2068
E 16 70
E 70 151
E 151 637
E 637 2095
E 70 232
E 232 475
E 70 556
E 556 1285
E 16 178
E 178 664
E 664 1393
E 16 97
E 16 1474
E 7 25
E 25 52
E 52 214
E 214 700
E 700 2158
E 52 295
E 52 538
