Cost 852
Edges 608
E 4 2
E 2 1
E 1 3
E 3 7
E 7 15
E 15 31
E 31 63
E 63 127
E 127 255
E 255 511
E 511 1023
E 63 191
E 191 447
E 447 959
E 959 1983
E 63 319
E 319 1343
E 31 159
E 159 1183
E 1183 1439
E 159 415
E 31 287
E 287 351
E 351 863
E 863 1887
E 31 95
E 15 47
E 47 111
E 111 623
E 623 751
E 751 1775
E 111 239
E 47 175
E 175 431
E 431 943
E 175 1199
E 47 303
E 303 815
E 15 79
E 79 207
E 207 719
E 79 1103
E 1103 1359
E 79 335
E 15 143
E 143 399
E 399 911
E 15 527
E 527 1551
E 7 39
E 39 55
E 55 119
E 119 247
E 247 503
E 503 1015
E 119 631
E 631 1655
E 119 375
E 55 183
E 39 103
E 103 231
E 231 487
E 487 999
E 999 2023
E 103 359
E 7 71
E 71 87
E 87 215
E 215 471
E 471 983
E 215 1239
E 71 1095
E 1095 1223
E 71 199
E 7 135
E 135 391
E 391 903
E 903 1927
E 7 263
E 263 1287
E 7 23
E 7 519
E 3 11
E 11 27
E 27 91
E 91 123
E 123 251
E 251 507
E 507 1531
E 91 219
E 219 731
E 91 603
E 603 1627
E 27 155
E 155 187
E 187 699
E 155 667
E 667 1691
E 27 283
E 283 795
E 27 539
E 539 571
E 27 59
E 11 43
E 43 107
E 107 1131
E 43 171
E 171 427
E 43 299
E 11 75
E 75 203
E 203 459
E 459 971
E 971 1995
E 75 331
E 331 843
E 843 1867
E 11 139
E 3 19
E 19 51
E 51 115
E 115 627
E 627 755
E 755 1779
E 115 243
E 51 179
E 179 435
E 51 307
E 307 819
E 819 1843
E 19 83
E 83 1107
E 1107 1363
E 83 339
E 19 147
E 147 403
E 403 1427
E 19 531
E 531 535
E 531 1555
E 3 35
E 35 99
E 99 355
E 355 867
E 99 611
E 35 163
E 163 419
E 419 1443
E 163 675
E 35 291
E 291 803
E 803 1827
E 35 547
E 3 67
E 67 195
E 195 451
E 67 68
E 3 515
E 515 1539
E 3 1027
E 1 5
E 5 21
E 21 29
E 29 61
E 61 125
E 125 1149
E 61 317
E 317 445
E 445 957
E 957 1981
E 61 573
E 573 1597
E 61 189
E 29 93
E 93 221
E 221 733
E 733 1757
E 221 477
E 29 157
E 157 669
E 669 1693
E 29 285
E 285 797
E 21 53
E 53 117
E 117 245
E 245 757
E 117 373
E 53 181
E 181 437
E 437 1461
E 21 85
E 85 213
E 213 1237
E 85 341
E 21 149
E 149 661
E 661 1685
E 21 277
E 277 789
E 789 1813
E 5 69
E 69 77
E 77 205
E 205 461
E 461 973
E 69 101
E 101 229
E 229 741
E 741 997
E 997 2021
E 229 485
E 69 581
E 581 1605
E 69 1093
E 5 133
E 133 141
E 141 397
E 397 1421
E 133 165
E 165 677
E 677 1701
E 133 389
E 5 261
E 261 293
E 293 805
E 5 1029
E 1029 1061
E 5 13
E 5 37
E 1 9
E 9 41
E 41 45
E 45 109
E 109 237
E 237 493
E 493 1517
E 109 621
E 45 301
E 301 813
E 813 1837
E 41 57
E 57 121
E 121 377
E 377 1401
E 1401 1913
E 377 889
E 57 185
E 185 1209
E 41 169
E 169 233
E 233 745
E 169 681
E 681 937
